Params,Total Accuracy,Accuracy per label,Max val list,Max str list,Label str,Total_Accuracy,Accuracy_per_label,Max_val_list,Max_str_list,Label_str,Matrice
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(5)', 'Normalized', 'No Raman Region']",,,,,,0.18690601900739176,"[21.0, 30.0, 33.0, 13.0, 1.0, 0.0, 4.0, 7.0]","[29.0, 22.0, 36.0, 32.0, 34.0, 35.0, 37.0, 27.0]","['SN', 'GPe', 'GPe', 'GPi', 'GPi', 'GPe', 'SN', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 56  43  75  54   1  10   9  15]
 [ 62  85  47  58   5   5   1  25]
 [160  54 147  27   7   1  23  25]
 [100 108  31  43   8   4   6  39]
 [ 18  29  13  17   1   0   0   8]
 [ 34  23   9  13   0   0   1  17]
 [ 40  16  46   6   0   3   5   7]
 [ 64  69  38  42  11   6   7  17]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(5)', 'Normalized', 'High Wavenumbers']",,,,,,0.2122492080253432,"[20.0, 12.0, 37.0, 14.0, 64.0, 29.0, 2.0, 6.0]","[38.0, 43.0, 25.0, 25.0, 26.0, 25.0, 25.0, 25.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPe', 'STN', 'GPi', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 52 101  49  24  11   0   3  23]
 [123  34  43  44   5   4   8  27]
 [111  48 166  58   0  11  15  35]
 [ 76  84  65  48   0  15  10  41]
 [ 22   6   0   0  55   0   0   3]
 [  2  11  10  24   0  28  10  12]
 [ 19  31  25  20   0  12   3  13]
 [ 61  64  40  47   3  20   3  16]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(10)', 'Normalized', 'FingerPrint']",,,,,,0.27613516367476243,"[16.0, 31.0, 46.0, 13.0, 80.0, 33.0, 11.0, 11.0]","[25.0, 31.0, 22.0, 31.0, 19.0, 27.0, 32.0, 27.0]","['GPi', 'STN', 'thalamus', 'GPi', 'GPi', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 43  65  55  51   1   0   2  46]
 [ 68  88   8  88   9   2   0  25]
 [ 43  18 205  44   1   4  33  96]
 [ 78 106  43  44   0  28   7  33]
 [  1  16   0   0  69   0   0   0]
 [  0   4   6  26   0  32  23   6]
 [  4   0  39  24   0  20  13  23]
 [ 68  43  49  44   1   6  14  29]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(10)', 'Normalized', 'No Raman Region']",,,,,,0.18954593453009505,"[14.0, 26.0, 37.0, 15.0, 1.0, 3.0, 6.0, 8.0]","[33.0, 25.0, 28.0, 29.0, 29.0, 30.0, 50.0, 25.0]","['SN', 'STN', 'GPe', 'GPi', 'STN', 'GPe', 'SN', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 38  33  87  58   1  14  11  21]
 [ 41  75  56  72   3   4   3  34]
 [126  53 163  27   3   3  32  37]
 [ 86 100  33  52   9   8   2  49]
 [ 11  20  21  25   1   0   0   8]
 [ 29  15   7  24   2   3   5  12]
 [ 28   4  61   9   0   3   7  11]
 [ 50  63  52  54   4   7   4  20]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(10)', 'Normalized', 'High Wavenumbers']",,,,,,0.22703273495248152,"[14.0, 14.0, 41.0, 14.0, 69.0, 36.0, 2.0, 11.0]","[37.0, 38.0, 21.0, 27.0, 27.0, 24.0, 27.0, 20.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPe', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 38  98  61  25   9   0   2  30]
 [108  39  49  42   7   3   8  32]
 [ 92  41 182  67   0  10  15  37]
 [ 55  90  68  48   0  23   9  46]
 [ 23   2   0   0  59   0   0   2]
 [  0   7   4  23   0  35  16  12]
 [ 14  26  33  18   0  19   2  11]
 [ 52  50  51  45   1  22   6  27]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(30)', 'Normalized', 'FingerPrint']",,,,,,0.2771911298838437,"[13.0, 27.0, 45.0, 18.0, 85.0, 30.0, 15.0, 13.0]","[25.0, 38.0, 20.0, 31.0, 15.0, 33.0, 33.0, 25.0]","['STN', 'STN', 'thalamus', 'GPi', 'GPi', 'putamen', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 33  57  63  65   0   0   2  43]
 [ 63  79  11 108   9   2   0  16]
 [ 56  14 200  52   1   4  28  89]
 [ 69 104  35  61   0  19  16  35]
 [  0  13   0   0  73   0   0   0]
 [  0   4   4  13   0  29  32  15]
 [  5   1  41  22   0  21  18  15]
 [ 64  27  57  48   1  14  11  32]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(30)', 'Normalized', 'No Raman Region']",,,,,,0.1863780359028511,"[15.0, 23.0, 37.0, 20.0, 0.0, 0.0, 0.0, 7.0]","[35.0, 29.0, 24.0, 30.0, 34.0, 37.0, 54.0, 26.0]","['SN', 'STN', 'GPe', 'GPi', 'STN', 'GPe', 'SN', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 40  21  92  76   0   7   4  23]
 [ 40  66  57  84   3   0   1  37]
 [108  29 163  42   4   1  47  50]
 [ 72 103  36  67   5   8   0  48]
 [  7  19  20  29   0   0   0  11]
 [ 36   8   6  25   4   0   0  18]
 [ 30   3  66   9   0   0   0  15]
 [ 45  66  56  59   2   4   5  17]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(30)', 'Normalized', 'High Wavenumbers']",,,,,,0.21383315733896516,"[10.0, 10.0, 41.0, 15.0, 69.0, 36.0, 1.0, 8.0]","[38.0, 41.0, 18.0, 24.0, 30.0, 24.0, 21.0, 22.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPe', 'STN', 'SN', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 27 100  67  31  12   0   1  25]
 [119  30  45  45   5   2   7  35]
 [ 82  44 181  68   0  10  14  45]
 [ 53  81  72  51   0  23   6  53]
 [ 26   1   0   0  59   0   0   0]
 [  1   7   1  23   0  35  17  13]
 [ 16  25  26  22   0  19   1  14]
 [ 46  55  44  52   2  28   6  21]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(5)', 'Normalized', 'FingerPrint']",,,,,,0.3310454065469905,"[17.0, 28.0, 55.0, 22.0, 84.0, 52.0, 11.0, 17.0]","[37.0, 31.0, 25.0, 37.0, 13.0, 24.0, 45.0, 25.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPi', 'putamen', 'SN', 'STN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 46  96  61  49   0   1   2   8]
 [ 88  82  16  75   5   0   0  22]
 [113  37 245  22   1   2  21   3]
 [ 78 125  12  76   0   5  16  27]
 [  3  11   0   0  72   0   0   0]
 [  2   5   9   6   0  50  23   2]
 [  9   1  55  15   0  20  14   9]
 [ 62  38  18  63   1   3  27  42]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(5)', 'Normalized', 'No Raman Region']",,,,,,0.17845828933474128,"[19.0, 35.0, 26.0, 12.0, 0.0, 4.0, 7.0, 6.0]","[30.0, 19.0, 33.0, 34.0, 34.0, 45.0, 43.0, 26.0]","['SN', 'STN', 'GPe', 'GPi', 'GPi', 'GPe', 'SN', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 51  42  78  52   4  15  10  11]
 [ 52 101  52  56   6   2   2  17]
 [145  68 117  26   4   2  43  39]
 [ 96 114  41  41   6  13   1  27]
 [ 14  29  15  16   0   1   2   9]
 [ 44  14   3  25   1   4   2   4]
 [ 40   6  53   7   0   2   9   6]
 [ 59  66  47  48   7   8   4  15]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(5)', 'Normalized', 'High Wavenumbers']",,,,,,0.21119324181626187,"[18.0, 13.0, 37.0, 9.0, 74.0, 34.0, 5.0, 6.0]","[42.0, 44.0, 26.0, 29.0, 20.0, 24.0, 29.0, 29.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPe', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 47 111  43  25   7   0   3  27]
 [126  38  31  52   5   2   6  28]
 [117  56 166  67   0   5  18  15]
 [ 95  97  49  31   1  14  11  41]
 [ 17   4   0   1  64   0   0   0]
 [  1  10   6  23   0  33  10  14]
 [ 27  15  36  17   0  12   6  10]
 [ 73  60  22  52   3  18  11  15]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(10)', 'Normalized', 'FingerPrint']",,,,,,0.3357972544878564,"[17.0, 30.0, 53.0, 27.0, 84.0, 52.0, 11.0, 18.0]","[33.0, 28.0, 26.0, 35.0, 16.0, 29.0, 43.0, 25.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPi', 'putamen', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 45  86  70  51   0   1   1   9]
 [ 81  86  13  80   6   0   0  22]
 [115  35 234  23   1   3  30   3]
 [ 71 119  10  90   0   8  14  27]
 [  0  14   0   0  72   0   0   0]
 [  0   8   7   3   0  50  28   1]
 [  7   2  53  18   0  23  14   6]
 [ 63  34  15  64   1   5  27  45]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(10)', 'Normalized', 'No Raman Region']",,,,,,0.19060190073917635,"[14.0, 30.0, 34.0, 18.0, 1.0, 3.0, 5.0, 6.0]","[33.0, 27.0, 22.0, 34.0, 27.0, 49.0, 46.0, 25.0]","['SN', 'STN', 'GPe', 'GPi', 'STN', 'GPe', 'SN', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 36  32  86  65   0  14  10  20]
 [ 36  87  52  78   6   3   5  21]
 [ 99  68 153  27  10   2  48  37]
 [ 85 114  31  61   9  11   1  27]
 [ 10  19  21  23   1   0   0  12]
 [ 48   8   4  29   0   3   2   3]
 [ 37   6  57  10   0   2   6   5]
 [ 52  64  53  57   4   6   4  14]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(10)', 'Normalized', 'High Wavenumbers']",,,,,,0.21964097148891235,"[13.0, 12.0, 39.0, 13.0, 71.0, 39.0, 3.0, 9.0]","[48.0, 44.0, 24.0, 28.0, 26.0, 23.0, 30.0, 27.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPe', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 35 127  42  30   6   0   1  22]
 [127  35  27  55   5   2   6  31]
 [108  48 175  72   0   7  21  13]
 [ 68  94  59  45   2  18  12  41]
 [ 22   1   0   0  61   0   0   2]
 [  0   9   5  22   0  38  10  13]
 [ 22  12  37  20   0  18   4  10]
 [ 69  52  19  60   2  22   7  23]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(30)', 'Normalized', 'FingerPrint']",,,,,,0.3220696937697994,"[11.0, 26.0, 49.0, 32.0, 90.0, 56.0, 9.0, 15.0]","[33.0, 33.0, 29.0, 31.0, 10.0, 24.0, 38.0, 28.0]","['GPi', 'STN', 'GPe', 'GPi', 'GPi', 'putamen', 'SN', 'STN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 30  86  84  55   0   1   2   5]
 [ 83  74  12  96   5   2   0  16]
 [130  36 219  27   2   2  25   3]
 [ 69 106   7 107   0   9   7  34]
 [  0   9   0   0  77   0   0   0]
 [  0   5   5   8   0  54  23   2]
 [  2   2  47  22   0  29  11  10]
 [ 60  33  22  72   1   7  21  38]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(30)', 'Normalized', 'No Raman Region']",,,,,,0.18109820485744457,"[11.0, 26.0, 35.0, 19.0, 0.0, 2.0, 2.0, 7.0]","[35.0, 28.0, 23.0, 35.0, 30.0, 44.0, 51.0, 24.0]","['STN', 'STN', 'GPe', 'GPi', 'STN', 'GPe', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 28  17  87  91   0  10   3  27]
 [ 34  75  54  82   3   1   0  39]
 [103  60 154  37   2   2  45  41]
 [ 73 120  24  64   7  14   0  37]
 [  6  15  23  26   0   1   0  15]
 [ 43  10   1  34   0   2   0   7]
 [ 35   5  63  10   0   1   3   6]
 [ 61  55  53  60   3   5   0  17]]"
"['smooth(3)', 'ORPL(30)', 'PCA(8)', 'KNN(30)', 'Normalized', 'High Wavenumbers']",,,,,,0.21752903907074975,"[11.0, 13.0, 39.0, 13.0, 69.0, 38.0, 2.0, 11.0]","[44.0, 45.0, 28.0, 26.0, 31.0, 22.0, 27.0, 25.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPe', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 30 117  41  29  13   0   1  32]
 [130  38  28  44   8   1   3  36]
 [123  45 174  59   0   8  17  18]
 [ 72  87  61  45   1  19   5  49]
 [ 27   0   0   0  59   0   0   0]
 [  0   7   5  21   0  37  15  12]
 [ 21  18  33  17   0  23   2   9]
 [ 64  52  24  53   2  18  14  27]]"
"['smooth(3)', 'ORPL(70)', 'PCA(1)', 'KNN(5)', 'Normalized', 'FingerPrint']",,,,,,0.16525871172122492,"[15.0, 15.0, 32.0, 14.0, 12.0, 14.0, 2.0, 6.0]","[32.0, 24.0, 32.0, 29.0, 38.0, 43.0, 25.0, 27.0]","['SN', 'GPe', 'GPe', 'GPi', 'GPi', 'GPi', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 39  67  84  41   7   0   7  18]
 [ 70  43  61  70  13  14   6  11]
 [144  71 140  22  10   3  14  40]
 [ 95  98  34  49   0  18  18  27]
 [ 28  33  13   1  10   0   0   1]
 [  0  42   4  28   0  14   2   7]
 [ 27  21  31  26   0   8   2   8]
 [ 68  34  69  46   0  13   8  16]]"
"['smooth(3)', 'ORPL(70)', 'PCA(1)', 'KNN(5)', 'Normalized', 'No Raman Region']",,,,,,0.11985216473072861,"[16.0, 22.0, 17.0, 10.0, 3.0, 2.0, 2.0, 3.0]","[23.0, 30.0, 38.0, 32.0, 38.0, 42.0, 33.0, 35.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'GPe', 'GPe', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 41  61  61  52   2  10   8  28]
 [ 86  62  76  31   7   3   8  15]
 [170 115  74  51   5   1  11  17]
 [110 100  68  35   4   7   1  14]
 [ 29  33   9   8   3   0   1   3]
 [ 41  19  15  13   3   2   1   3]
 [ 40  33  30   7   2   1   3   7]
 [ 90  71  50  21   4   6   5   7]]"
"['smooth(3)', 'ORPL(70)', 'PCA(1)', 'KNN(5)', 'Normalized', 'High Wavenumbers']",,,,,,0.1816261879619852,"[15.0, 15.0, 40.0, 13.0, 26.0, 0.0, 1.0, 6.0]","[40.0, 36.0, 21.0, 31.0, 33.0, 54.0, 39.0, 33.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 40 104  50  22  15  10   8  14]
 [103  42  37  51  18  12   5  20]
 [ 92  61 179  60  13   2  10  27]
 [105  87  54  44   4   9   2  34]
 [ 28  20   7   0  22   0   0   9]
 [ 52  14   5  15   0   0   1  10]
 [ 48  23  27  13   1   4   1   6]
 [ 85  50  38  44  14   3   4  16]]"
"['smooth(3)', 'ORPL(70)', 'PCA(1)', 'KNN(10)', 'Normalized', 'FingerPrint']",,,,,,0.17423442449841606,"[7.0, 11.0, 41.0, 12.0, 10.0, 31.0, 0.0, 7.0]","[40.0, 35.0, 21.0, 32.0, 40.0, 35.0, 29.0, 33.0]","['SN', 'STN', 'GPe', 'GPe', 'GPi', 'GPi', 'SN', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 18  39 104  56   3   1   5  37]
 [ 57  31  57 100   6  17   8  12]
 [ 93  75 183  28   7   5   9  44]
 [107 100  25  41   0  18  14  34]
 [ 21  34  21   0   9   0   0   1]
 [  1  34   1  17   0  30   4  10]
 [ 17  20  36  27   0  12   0  11]
 [ 51  20  83  45   0  28   9  18]]"
"['smooth(3)', 'ORPL(70)', 'PCA(1)', 'KNN(10)', 'Normalized', 'No Raman Region']",,,,,,0.10242872228088701,"[11.0, 16.0, 17.0, 8.0, 3.0, 3.0, 1.0, 3.0]","[27.0, 30.0, 30.0, 26.0, 29.0, 32.0, 43.0, 30.0]","['SN', 'SN', 'GPe', 'GPe', 'GPi', 'GPe', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 30  39  70  62   4  15   8  35]
 [ 59  45  85  48  17   5  11  18]
 [133  93  76  84  10   8  14  26]
 [ 89  86  84  28  13  10   4  25]
 [ 23  25  15  14   3   0   0   6]
 [ 31  15  20  16   3   3   1   8]
 [ 28  19  53  10   3   2   1   7]
 [ 76  59  58  37   8   3   5   8]]"
"['smooth(3)', 'ORPL(70)', 'PCA(1)', 'KNN(10)', 'Normalized', 'High Wavenumbers']",,,,,,0.15997888067581836,"[8.0, 9.0, 40.0, 13.0, 23.0, 3.0, 0.0, 4.0]","[33.0, 34.0, 18.0, 24.0, 31.0, 44.0, 32.0, 25.0]","['GPi', 'GPe', 'STN', 'GPi', 'GPi', 'GPe', 'GPe', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 20  88  49  36  19  15  10  26]
 [ 97  27  38  69  21   8   5  23]
 [ 76  49 179  79  21   6  13  21]
 [ 75  80  83  45   7  11   6  32]
 [ 24  27   5   3  20   0   0   7]
 [ 43  18   4  18   0   3   1  10]
 [ 39  23  27  14   2   6   0  12]
 [ 64  61  46  40  19   8   7   9]]"
